sender,receiver,total_usdt,tx_count,avg_usdt,community_sender,community_receiver,same_cluster
0x2a68baf67f1c497d9a4a609276a90dcd6ea77444,0x6158fe96b950111b8f1f31249fedda484e941312,38308734.15,1,38308734.15,0,0,True
0x5a67fa7cc56bd6d043a98e17d329c1dc9e14753f,0x704d8b3871fda9e9ddd29551204604563dce9f72,9937357.31,1,9937357.31,0,0,True
0x7452f02038a6039b730c7ec929a3380ff1b4a6e7,0x4f60023edf50b9a66384b0364af59617fe0f4319,4999181.01,1,4999181.01,0,0,True
0x89cbcb2372e1c2fbc00f24895a406a0c722c89f3,0x4f60023edf50b9a66384b0364af59617fe0f4319,3999999.01,1,3999999.01,0,0,True
0x2a68baf67f1c497d9a4a609276a90dcd6ea77444,0xd36480eee80bc7457ac7f3b9d87accc954ceaf94,3674368.23,1,3674368.23,0,0,True
0x3c32c7224525e60e43d91c3a87244d414fb17511,0x64675fa0a17e6ba9ab54a7e004d0f09b8fce3481,2221000.0,1,2221000.0,0,0,True
0xc686c48436aec3a1dfce4ac5a4526c39366985ba,0x041eddff27b8a6a8c2f7ff6822bca16bf31ca376,1800000.0,2,900000.0,0,0,True
0x7452f02038a6039b730c7ec929a3380ff1b4a6e7,0x8c310617995635a342ee26a72eca918baba50804,1681468.44,1,1681468.44,0,0,True
0x3c32c7224525e60e43d91c3a87244d414fb17511,0x45ba08cef64f5ded93b896f77873c951f7d079e7,1500000.0,1,1500000.0,0,0,True
0xc686c48436aec3a1dfce4ac5a4526c39366985ba,0xd01be5220aff225f6526a320a062264f01f05c22,1432108.0,1,1432108.0,0,0,True
0x45ba08cef64f5ded93b896f77873c951f7d079e7,0x5223bef4dbe8dec26b346dfdbe98dd89be5558ae,1396662.0,1,1396662.0,0,0,True
0xddb0132599837a32a0ad2c32daa1a8652aaa37e9,0x8cedebc6419ba7f9496c3b421fb5f6d385da42c9,1362600.0,1,1362600.0,0,0,True
0x3c32c7224525e60e43d91c3a87244d414fb17511,0x62cd34730dd2a206ffdc8201ba1f83aca6704be6,1322981.38,10,132298.13799999998,0,0,True
0x5a67fa7cc56bd6d043a98e17d329c1dc9e14753f,0xfc206cffab692d22b7e458dd1da03dd6d09a8542,1099889.0,1,1099889.0,0,0,True
0xa346f2bd7d43a5d90b7c57a18196be96b2840e61,0xf0c4c6128d7f76e44bf5e3643001a6ceb8a3ae54,999999.0,1,999999.0,0,0,True
0x2a68baf67f1c497d9a4a609276a90dcd6ea77444,0xf0c4c6128d7f76e44bf5e3643001a6ceb8a3ae54,999999.0,1,999999.0,0,0,True
0x595c4a379ab80c202f0372bbf9bbf3fad6ca8768,0x4f059fa2935754c3c6fe629136db1ffa25902e1b,999998.5,1,999998.5,0,0,True
0x42617573fceb9b78200eb434ff341fc9a4b6215a,0x9b5358b1a815f5b9116fe4937e6a6bef8fcdadc2,999996.0,1,999996.0,0,0,True
0x3c32c7224525e60e43d91c3a87244d414fb17511,0x13e133a64d4cae71f35af0b3268b58281ed6a167,999900.0,1,999900.0,0,0,True
0x45ba08cef64f5ded93b896f77873c951f7d079e7,0x56523a491b560aefc857b46b6e97c755e8681e79,822921.0,2,411460.5,0,0,True
0x7452f02038a6039b730c7ec929a3380ff1b4a6e7,0x92ded321b3c5b6a5a39cc87adad08358901ffde7,700000.0,1,700000.0,0,0,True
0x5a67fa7cc56bd6d043a98e17d329c1dc9e14753f,0x9711931701b54362d9a3ce9c1fe82b9c87476136,699999.0,1,699999.0,0,0,True
0x595c4a379ab80c202f0372bbf9bbf3fad6ca8768,0x49e6d8a0d40d04a7bdfc5430b80aeca8f9c94918,620288.5,1,620288.5,0,0,True
0x6158fe96b950111b8f1f31249fedda484e941312,0xc03e9085252c9da25a64cdd88d426289de5b2ba1,599999.0,1,599999.0,0,0,True
0xfb0e634b74f4a9de768092fc13f1f018f6c007df,0x01a3e7c9f7d637ba330223e5ab552b68b9995250,584265.0,1,584265.0,0,0,True
0xc686c48436aec3a1dfce4ac5a4526c39366985ba,0x29f9df9ff98b0b9965545cf2434a2a7dfaf505f3,576021.7,1,576021.7,0,0,True
0x7eec8c88692b3e5168de0fca81973b5daac59db6,0x6dc820e702646a30cf420a356452a38a730d71a6,569384.09,2,284692.045,31,31,True
0x0e23805c40433caa326d5a177e994031869eb2ea,0xf017fcf362b573976c69d3f2afb6d35a024a0cfb,538857.15,6,89809.52500000001,46,46,True
0xc686c48436aec3a1dfce4ac5a4526c39366985ba,0x7f57df202337805e771dd89517852e304092c936,536624.04,1,536624.04,0,0,True
0x63d090b2101f125f65e8fae5b9744d0e74eb8746,0x84a85d217e318a4c64a0b9fdb07a5fc8f2f9d110,520800.0,1,520800.0,0,0,True
0x59059d8d9e984547dc247d55f29e581ff1962b98,0x5728a7696adbbead8b3a87af6f87471b741b6d67,506533.0,1,506533.0,0,0,True
0x4ab38f7ae7eadad03981b2a7d7883760aa63e564,0xa7b2ebcdc717c04e9567c114de9861fc755743e7,500000.0,1,500000.0,0,0,True
0x89cbcb2372e1c2fbc00f24895a406a0c722c89f3,0xb8ed31e9f36f743976f3a9062701c441d185df28,500000.0,1,500000.0,0,0,True
0x4ab38f7ae7eadad03981b2a7d7883760aa63e564,0xb50eb419ebeba06c80df5e9aaec494cef4297879,434604.0,4,108651.0,0,0,True
0xc686c48436aec3a1dfce4ac5a4526c39366985ba,0x9fe89d8118be65bb0b114b15280866640e22753b,431009.0,2,215504.5,0,0,True
0xc686c48436aec3a1dfce4ac5a4526c39366985ba,0xdaa16f2ccdba816dfccd04683ee75dfc28674d4b,430221.28,1,430221.28,0,0,True
0x59059d8d9e984547dc247d55f29e581ff1962b98,0x9711931701b54362d9a3ce9c1fe82b9c87476136,400499.0,1,400499.0,0,0,True
0x6fae3452e6312234846493da9712dde66e41c9e7,0x4a2842b64f6b5c24c9eece649768f8acc5b945e9,400000.0,1,400000.0,69,69,True
0xc686c48436aec3a1dfce4ac5a4526c39366985ba,0x532aa8d47654cc7ce2831d7218139a28f23e1577,399998.97,1,399998.97,0,0,True
0x42617573fceb9b78200eb434ff341fc9a4b6215a,0x0c32932fd1e42d86f0aff45daf9a1803d5329c4b,399996.0,1,399996.0,0,0,True
0x039b5993b501a71117f5deaf9e7399b48819cb75,0xb332a27cf51445125f82760e84dcadcceea64e72,390386.0,1,390386.0,0,0,True
0x2a0bc323d8654fb825e303852b97b1ab1a17c04d,0xf758cb4587837d2c25d0fe666eda31addd8ffdaf,357660.42,7,51094.345714285715,0,0,True
0x45ba08cef64f5ded93b896f77873c951f7d079e7,0x7f3648b9e00c5c96a4ccb9b62bc5049320aff21a,350000.0,1,350000.0,0,0,True
0xb50b027637ab9a7f2ba5b70a24f778f8438bb279,0xa2c2426d23bb43809e6eba1311afddde8d45f5d8,327932.25,8,40991.53125,0,0,True
0xf372e671e8e872e14f17236ab29c7995296a3bad,0x7627bfadcf3a32be1110724edc29b6e1e49759e3,322973.24,1,322973.24,0,0,True
0x4ab38f7ae7eadad03981b2a7d7883760aa63e564,0xb50b027637ab9a7f2ba5b70a24f778f8438bb279,319917.98,43,7439.953023255814,0,0,True
0x5a67fa7cc56bd6d043a98e17d329c1dc9e14753f,0x7627bfadcf3a32be1110724edc29b6e1e49759e3,317707.01,1,317707.01,0,0,True
0x61c8b2d39b96176bed4ab795cdb7a58c3a130776,0xef7ee197ef799e300b13078e45e84c74872870c2,313304.64,1,313304.64,0,0,True
0x89cbcb2372e1c2fbc00f24895a406a0c722c89f3,0x7627bfadcf3a32be1110724edc29b6e1e49759e3,303048.68,1,303048.68,0,0,True
0x2a68baf67f1c497d9a4a609276a90dcd6ea77444,0x7627bfadcf3a32be1110724edc29b6e1e49759e3,302476.69,1,302476.69,0,0,True
