tx_hash,total_score,high_velocity,large_transfer,structuring,multi_hop,is_alert
000275e7e006f868ea0d8d1fad36b9b8ecbbc20ef88ca5a2f3c9cc32cf2dd226,60.0,25.0,0.0,35.0,0.0,True
00046aa2693893baaf28aea35c7141ddca8a21134abb0503a1f29a83fd0e2cd4,60.0,25.0,0.0,35.0,0.0,True
0004e9000f8d568f4cc8e4847d4bc706936dadc3b91a70d41812b82a53c8b753,60.0,25.0,0.0,35.0,0.0,True
00051974277f5256565b0a98e08dcacd9fc863b565be0e64705ab1fcbc6701cf,60.0,25.0,0.0,35.0,0.0,True
0006d614c99187bcd72f9fab8b442d0eb3a58b6ffb8ab4a3fbf7ed2e28bb5661,60.0,25.0,0.0,35.0,0.0,True
000b74031c998ac08269d1ece2668a665260800e6d8e8c79f2d5b637a65fa3bb,60.0,25.0,0.0,35.0,0.0,True
000e2b6ec174606e1470927a12ee5c12c57005b086f17e524c328d887a089710,60.0,25.0,0.0,35.0,0.0,True
000f6aaf9bf0b491ecbd69c90fb516f33791af3a9d7d1689005e0fd9fe0c2160,60.0,25.0,0.0,35.0,0.0,True
00128bf48089df03464a62768e3b26c427db17ac378cc0808d27e214dba5fe9f,60.0,25.0,0.0,35.0,0.0,True
00142d439eadfec313f82555c8f72ce57e98cb949024ab3ae90cb01a274ceb68,60.0,25.0,0.0,35.0,0.0,True
00156ad9b8148138d27d6d78a9903314ec2a02458cd74c441d498213d826df00,60.0,25.0,0.0,35.0,0.0,True
0015a9b67a23c94ab5e417d7adda37a41bc261c82ef1c59a0fe2f651af769d51,60.0,25.0,0.0,35.0,0.0,True
00162af342fd84d0d8bec0d75492ac9280e2ced307020186e70e2e2fa969918f,60.0,25.0,0.0,35.0,0.0,True
0016f01b2e3084472d5bd78f1c6ce4c4dfb7fee1ea3bb62ad77ccac3f50519e3,60.0,25.0,0.0,35.0,0.0,True
0018432e7ed23b2a2a183b4cdbe33c4b1013526b5197521a3d743fc9f9638b74,60.0,25.0,0.0,35.0,0.0,True
0019557e50bd56a71c437b6b8f2c0f7de1fb7285100a923368957493aa011128,60.0,25.0,0.0,35.0,0.0,True
0019691f0f9c954944b55820a9454116a24e89aa0b8d1c1527e57989a67b2f41,60.0,25.0,0.0,35.0,0.0,True
001a636c063d2b293fc74a5616142f869e7d2d2633330b55b97cbab2eab88069,40.0,0.0,40.0,0.0,0.0,False
001bec903ffad2e29397e9857f3674d05d354d72ebbc9bf920fa7e84f8cf64fc,60.0,25.0,0.0,35.0,0.0,True
001c1fb5b82b3881a50860ec28d614df3eb6b39bf0578e5222b6e5cc5b249426,35.0,0.0,0.0,35.0,0.0,False
001c831436e4155b13d61c9748c948949f4e6d0d6b24a256d6672d83287ef161,40.0,0.0,40.0,0.0,0.0,False
001e71e53a455c558c02b191b211723a154012a2d3f0208ade05e17ba59497f1,60.0,25.0,0.0,35.0,0.0,True
0021c206f670b90478521eea1ceee04eb6fdf2c201806374cc620b7664854518,60.0,25.0,0.0,35.0,0.0,True
0023dd8b672970197aa1eb44899de21095483250f538ecc969558502fe369970,60.0,25.0,0.0,35.0,0.0,True
0023f98623fd69b4bcf7112a4446617882dd9662d5e87b50898d32433814b350,60.0,25.0,0.0,35.0,0.0,True
0025dea7520f21d6655b2255ab5e7adab1a87c2ef68c7e8f2ce73c062a3c8ce8,60.0,25.0,0.0,35.0,0.0,True
0026803ad23cc92bea14e89227d1762f7c3e4da3f154a52543cea4e70924e37c,35.0,0.0,0.0,35.0,0.0,False
0026d6d174da11a4084833c573e03626099f8eb96507ebec532bfdb08bf3c15e,35.0,0.0,0.0,35.0,0.0,False
0027d70d4b7028bc8f3da44ba87b3704061e394bb38f4a2965b548c05a931030,60.0,25.0,0.0,35.0,0.0,True
0029c9a2757568a0eaac5d1a358b49d066165ce2ca1397cbf3b34d192f919b02,60.0,25.0,0.0,35.0,0.0,True
002a452dcc53d8630bf02450245d40a12e5a768ec124bf5b3546e2705472b3d9,60.0,25.0,0.0,35.0,0.0,True
002a4bdbc7f748a9f41f12db9a93a90e2a7cf56559ac69628753eded4d53b7e7,60.0,25.0,0.0,35.0,0.0,True
002bbcaf50be57ee9bdf83cba4686a681edb4123a6fedfd7b4fe358f3a2d4c57,60.0,25.0,0.0,35.0,0.0,True
002d17bc72b3581c67c7503ad1e953c4ba8d6dba245be08a2524fa693357e04f,60.0,25.0,0.0,35.0,0.0,True
002e7f8ffd1943b691100530d74fe50750ff8c54a665835dbb9037ac3dc0e932,60.0,25.0,0.0,35.0,0.0,True
0033107f26716e74beb89d4374fc01ebc15affdcacebe123a8222313999fb04b,60.0,25.0,0.0,35.0,0.0,True
00337febc711819e9aabb40df06f74da60c09fad87fa242be9ae959045749af0,60.0,25.0,0.0,35.0,0.0,True
00363983a99dbbdf00c0d90690b3cc2435a9e841ae81146ac62096bd74e4a180,60.0,25.0,0.0,35.0,0.0,True
00366a8485c746c9473777759daa6448813c823d6cf16d51f249922e20fa2728,35.0,0.0,0.0,35.0,0.0,False
0037d5a024211b8750f8e3c296a4959e7a6707dc72f287bebc886975616ecef5,60.0,25.0,0.0,35.0,0.0,True
003be058f6bf618a24ec85d45df66c34bf78f95e09d054933d1995681cf9362a,60.0,25.0,0.0,35.0,0.0,True
003c138406377f40ce8b6aebb284fefb7c924ff110e6dc124353f42867905874,40.0,0.0,40.0,0.0,0.0,False
0042e94aba2c10aa9e0b59bb596d0e5640584afd111a8ae49805bd41d7ee1aa2,60.0,25.0,0.0,35.0,0.0,True
0047f151447d55d262603263f68647885ee890950c90b37c4b446540140f0736,35.0,0.0,0.0,35.0,0.0,False
0048ac6a03747cc6690316fe02bd5d70e3a5a5aa6e3d8045607b996875f9eac6,60.0,25.0,0.0,35.0,0.0,True
004971c278d1eff688bab9f9f1a6079310e9e781af4c76a6b3202f4027eb049c,60.0,25.0,0.0,35.0,0.0,True
004bcc0d292612414466f0c73c52de97630a62aa32c25f588c410aabf3511ca5,60.0,25.0,0.0,35.0,0.0,True
004c3366fb8000696034be00d7f2c82c13031b7ab7710a245458194f8c74de0e,35.0,0.0,0.0,35.0,0.0,False
004d03735eba87588d7d009d504b4d69c159a961d296c8a76939e29ffa5d4596,60.0,25.0,0.0,35.0,0.0,True
004f9cb185f6f309de235ccb819448d1bbfdf7c6ea265343acbbb77f13aa4a7e,35.0,0.0,0.0,35.0,0.0,False
00508307af1077c5dbd6e3790cfd631bb47300772a388ea6a7f1df33206e4f11,60.0,25.0,0.0,35.0,0.0,True
005176164b0d32e3ee48d4684155674b32a087eec6f63301729488c0d68c6b79,60.0,25.0,0.0,35.0,0.0,True
005267829a9ffb121d2502a483db8fdd18d1fde5591dcae88498de07a76a7bbf,60.0,25.0,0.0,35.0,0.0,True
00527a7bf71f1cc6f81a0b2775ebf2acdbbe171794ed3f3793a029215ab40441,60.0,25.0,0.0,35.0,0.0,True
00548f0c21c17029baebeae98f926d572f32fcb3408b9ad6a91673ece6c1f962,60.0,25.0,0.0,35.0,0.0,True
00559e79362aad326458be6e71bea6da8289d609716016a941e56cb739ffaa14,60.0,25.0,0.0,35.0,0.0,True
0057311037df268de79808d08481b1422a496c24188b1542665a30300deca797,60.0,25.0,0.0,35.0,0.0,True
005857820c6d24b2ee4a40e1bd24fdf2aab0bc1b838462aabed1f08d4c8145b1,35.0,0.0,0.0,35.0,0.0,False
005a4245370810f4a69087f17966f1b0b735e101927a38c1783b380dd23b032b,60.0,25.0,0.0,35.0,0.0,True
005d8986270e247798b53e958f9fc71e45d46296cd0b2201b9157af206307527,60.0,25.0,0.0,35.0,0.0,True
005e6a6bc67578f7566619a514a00c37a4cea1e51c8a75178e24a67ca5964c02,60.0,25.0,0.0,35.0,0.0,True
005eb09b5474d4f4753052c72e3a96ffebbb792a42bde46c8fa266a7ded8d5dc,40.0,0.0,40.0,0.0,0.0,False
00606f97191e43f9217cd5d8169b0ba9a4a8cf201a9616383a0a191bbb7a4a92,60.0,25.0,0.0,35.0,0.0,True
0061c61e7312117ae18610d8aa5979669d5d62e46a04e2c7fdf307d34101d84a,35.0,0.0,0.0,35.0,0.0,False
0063094600a4a0c98a5d40763b77b6fc666d8370957e09d695d3c4ffd481ee10,60.0,25.0,0.0,35.0,0.0,True
0063928fb6f7da86a2ab38877b2121bafc6d8126547922b645e005c129aca799,60.0,25.0,0.0,35.0,0.0,True
0063a41ab84a28cbb5814ba04b2ef26327d58ec173aa1befdc9e5707ce2ef325,40.0,0.0,40.0,0.0,0.0,False
0065f25096478f022a1f6dce2b7907cd76b20bd4ad933d2e54909679bde24904,60.0,25.0,0.0,35.0,0.0,True
0069f763334c0d6b531a2e84a9edd0dd76b9f25fabb86bb6bf5fa0b9cf9d1eaa,40.0,0.0,40.0,0.0,0.0,False
0069ffb1b3173d065cbfd11323bf1a792aafc27026cd54cdcbcd1417d6b7ab09,60.0,25.0,0.0,35.0,0.0,True
006a44917f8212249724e264c9ebe288eada47bd25c6522f74c83395aa99975f,60.0,25.0,0.0,35.0,0.0,True
006a6073f3d7e5a0a90836d183e3356a210593f92c6ee7c61341485f38223391,60.0,25.0,0.0,35.0,0.0,True
006afcee7e655dbe9124e80e3fc37544575a2a1e767494b55f75fa9d93c6c2d0,35.0,0.0,0.0,35.0,0.0,False
006cca5142f5145a13acd5c5e9f3594066e5accdb7c37b944aa6261c55986454,60.0,25.0,0.0,35.0,0.0,True
006e837f0725e2c72421379db80e2710ad9ec98217c0c2beee802bb58c26d4c4,60.0,25.0,0.0,35.0,0.0,True
00715578190b58bb4a1a0235344e2ade17f1dc0983e6c42918f5a9f54310545b,35.0,0.0,0.0,35.0,0.0,False
00724d188eeafc765689d60a7fdcb7e61256bbf9c9bd4ced48b54397641cdbf0,60.0,25.0,0.0,35.0,0.0,True
0076e053726e30145332b3c7c0f7a869363010ad933ecaec4e4d53307d0f0905,60.0,25.0,0.0,35.0,0.0,True
0079b1b7d682d9ed0139c0ab887daeb9bc5c31e3784d7fae665fc79c290a8d08,35.0,0.0,0.0,35.0,0.0,False
007ac5e285312dc4d1efe9b8d41561cf523a149aa28079479085115964dba491,60.0,25.0,0.0,35.0,0.0,True
007d7d649e4d6e5a51b7be3d57aded2079e64a2da90711f803ccb50262956fbb,60.0,25.0,0.0,35.0,0.0,True
0081d665043af02741c69c844a25d9bf2f57915fa8c57c864ecd5222091d6751,60.0,25.0,0.0,35.0,0.0,True
008351f49927ca07b5e1a30f3f7bd513c29fe3601cdc5d9731f617af4f8df2e4,60.0,25.0,0.0,35.0,0.0,True
008400e5f05ae61d8d7c31318f93c6bdd974b690c71b91c8268d1622657d5267,35.0,0.0,0.0,35.0,0.0,False
008559a98aa414f4912cb44ea9f59e520de57b089073cb57da6c9f515f00df84,60.0,25.0,0.0,35.0,0.0,True
008905a4eb2207137b2dcabfd1bd542ff46b3a41d90fb588e853057e5a17e9fb,60.0,25.0,0.0,35.0,0.0,True
008a8b5ddeddde4fcc19cef2f83d791fb89245d5a295bb726fc356d5597e667b,60.0,25.0,0.0,35.0,0.0,True
008c6055b9f5325a74714ec284c66c1cd7351277fc04fdec477ab5961cb6353f,60.0,25.0,0.0,35.0,0.0,True
00905d329a0e59d2adb8106b1c97c185a42cbb1ef87d24dfd848c8fa3118a8db,60.0,25.0,0.0,35.0,0.0,True
0091840ed2d90672ff05eaaacf2b0f7d6d0c889fea28ec8a27487d7be0412ebc,60.0,25.0,0.0,35.0,0.0,True
0092bfbe10bf121cf029c560e5645ea86702ea70f1bd8f2e9758e5a8fae3cbc0,60.0,25.0,0.0,35.0,0.0,True
0094d917d91e2b29be014923553b87ce0742493e4274c6543c81d92dde86972e,35.0,0.0,0.0,35.0,0.0,False
009518b38a7cd02ec3cbf99174ff472bccca3d54b3361b127968bfa5d0eee166,35.0,0.0,0.0,35.0,0.0,False
009a8253e8775aaa2ff2b5a7e8b7108e255067caf8fac2b0356f937fdd7e2de6,60.0,25.0,0.0,35.0,0.0,True
009c1320fbe2ce9881e65e870ab8de50ec3673c0db29ac24ce58621eb6753253,60.0,25.0,0.0,35.0,0.0,True
009d278ae1bce525548d51753b8e634627f50498a86632a087a2f3a06e0deee6,40.0,0.0,40.0,0.0,0.0,False
009f563dc41b1705452d266e2f702bf007ef26cf630089802b6cf376567428c8,60.0,25.0,0.0,35.0,0.0,True
00a000439b1656dadedbe34f0bb4b90edee0698a007ed0c20dbc97c956823f41,60.0,25.0,0.0,35.0,0.0,True
00a0440a37cd4092233144ca7fd5f017f7f9b56f5052084b052c5903f8a68670,60.0,25.0,0.0,35.0,0.0,True
00a1420ba70f7e891932b082ae1d922b85516e2dc37dc9b3c143e2d33aa41643,35.0,0.0,0.0,35.0,0.0,False
00a45068cee78fee5abf247d2214ea5621ead8e35350a13976544b993a0caa82,60.0,25.0,0.0,35.0,0.0,True
00a67defe20bb85334e491dad3011cc5fe9c8530f887e1fc1e0dd22ebd7f6138,35.0,0.0,0.0,35.0,0.0,False
00a7ab34ef52bb3924114a0d7e5ac21b62bda3924045fd7906afa5bf9d0b000b,60.0,25.0,0.0,35.0,0.0,True
00aa785971c0a7f2989817252e8d205824de89b40b5e47a0699a2d49bc0c54c8,35.0,0.0,0.0,35.0,0.0,False
00abb832f3ce161c1fbabc05e9906aaf5fb41367b251fc07d1cbf59226bffe2f,35.0,0.0,0.0,35.0,0.0,False
00ac99390a738caa79ae726c9b969e9589b386fea03920c9e6b05d389e3b1f74,60.0,25.0,0.0,35.0,0.0,True
00b24341996285982a02ff2a203691c367f0e12eaaae1cb410fddbe05546d1fe,35.0,0.0,0.0,35.0,0.0,False
00b4e61134ec555e0f4871ac4f727cca994db87ee5248b3db235114062ce3c21,60.0,25.0,0.0,35.0,0.0,True
00b50f45c5e9dc17e1ad549b69f4bd8766b381fdcbc653addb83d07455908894,60.0,25.0,0.0,35.0,0.0,True
00b89aada17b6b2f2fcf9b2b8ece0c11e00cd86976ca36dd81b9bfec441adb46,35.0,0.0,0.0,35.0,0.0,False
00b8cb67892ba9c3c684db9ffb3852ffd8613d830d4738eb2b2a9c7efa91c821,35.0,0.0,0.0,35.0,0.0,False
00bc88c45e29ddbcf605cc463cf10a3a096eff218b4fef2d202148b3a1852e7f,60.0,25.0,0.0,35.0,0.0,True
00c341c4e8b808ca7e32408a7ebc100442e4849d17be0e6f620b217527b3eb7f,35.0,0.0,0.0,35.0,0.0,False
00c3c80f20f519b5701dd59496ff947ac03c997db16bacfcce435e60095b412d,60.0,25.0,0.0,35.0,0.0,True
00c47a11d02a833110833568ddedf431feac907321addcef36aa6df46441dfbd,60.0,25.0,0.0,35.0,0.0,True
00c666aef444c67158bcfff15393e243ac4f7ab121ac6519e33e8be5b3a21dda,60.0,25.0,0.0,35.0,0.0,True
00c6c03964607fc2ad4d5ce1f3e142c42ccf76d05febb8e8104013feba1906d5,60.0,25.0,0.0,35.0,0.0,True
00c6dc711400539fb1f00a4b37d0c66c4789798f12bb4bfa3f829d1ab17cfaf3,60.0,25.0,0.0,35.0,0.0,True
00c7bb2245c8198f216503840253fbc957a29429149f4a59adf5ea2b6703d6f6,60.0,25.0,0.0,35.0,0.0,True
00d0e04f8f44f661f4a280e646b2d878f896379eed9147bf936f1d1733a9ba39,60.0,25.0,0.0,35.0,0.0,True
00d36a03a66214b58af82e394bd5b6358a4a04d44fcfafff3bbe97ed9ab57b36,60.0,25.0,0.0,35.0,0.0,True
00d3d065a6b98fe2378a0e3d4d5ae396c30053c99275f33ae93ebe65bd5a1910,35.0,0.0,0.0,35.0,0.0,False
00d5364314c54563d1f3e89015b1c8569b5ec69c8641e3e5fa68a744219f5c3b,60.0,25.0,0.0,35.0,0.0,True
00d67fe4e7f42735535c77d98eb49df41ec75943c274a2202318cd3ae20c0c3b,60.0,25.0,0.0,35.0,0.0,True
