2026-03-10 12:07:56.620 | INFO     | __main__:run_ingestion:86 - =======================================================
2026-03-10 12:07:56.621 | INFO     | __main__:run_ingestion:87 -   BlockWatchKE — Phase 1: USDT Ingestion
2026-03-10 12:07:56.621 | INFO     | __main__:run_ingestion:88 -   Target : 100,000 transactions
2026-03-10 12:07:56.621 | INFO     | __main__:run_ingestion:89 -   Contract: TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t
2026-03-10 12:07:56.621 | INFO     | __main__:run_ingestion:90 - =======================================================
2026-03-10 12:07:56.635 | INFO     | database.db_connection:test_connection:30 - ✅ Database connection successful
2026-03-10 12:07:58.035 | DEBUG    | __main__:run_ingestion:136 - Batch 1: inserted 198/200 | total 200
2026-03-10 12:07:58.959 | DEBUG    | __main__:run_ingestion:136 - Batch 2: inserted 198/200 | total 400
2026-03-10 12:08:00.147 | DEBUG    | __main__:run_ingestion:136 - Batch 3: inserted 195/200 | total 600
2026-03-10 12:08:01.605 | DEBUG    | __main__:run_ingestion:136 - Batch 4: inserted 198/200 | total 800
2026-03-10 12:08:02.846 | DEBUG    | __main__:run_ingestion:136 - Batch 5: inserted 196/200 | total 1,000
2026-03-10 12:08:03.990 | DEBUG    | __main__:run_ingestion:136 - Batch 6: inserted 199/200 | total 1,200
2026-03-10 12:08:05.111 | DEBUG    | __main__:run_ingestion:136 - Batch 7: inserted 198/200 | total 1,400
2026-03-10 12:08:06.249 | DEBUG    | __main__:run_ingestion:136 - Batch 8: inserted 200/200 | total 1,600
2026-03-10 12:08:07.449 | DEBUG    | __main__:run_ingestion:136 - Batch 9: inserted 198/200 | total 1,800
2026-03-10 12:08:08.517 | DEBUG    | __main__:run_ingestion:136 - Batch 10: inserted 200/200 | total 2,000
2026-03-10 12:08:09.595 | DEBUG    | __main__:run_ingestion:136 - Batch 11: inserted 200/200 | total 2,200
2026-03-10 12:08:10.715 | DEBUG    | __main__:run_ingestion:136 - Batch 12: inserted 196/200 | total 2,400
2026-03-10 12:08:11.786 | DEBUG    | __main__:run_ingestion:136 - Batch 13: inserted 198/200 | total 2,600
2026-03-10 12:08:12.852 | DEBUG    | __main__:run_ingestion:136 - Batch 14: inserted 197/200 | total 2,800
2026-03-10 12:08:13.946 | DEBUG    | __main__:run_ingestion:136 - Batch 15: inserted 196/200 | total 3,000
2026-03-10 12:08:14.849 | DEBUG    | __main__:run_ingestion:136 - Batch 16: inserted 199/200 | total 3,200
2026-03-10 12:08:15.902 | DEBUG    | __main__:run_ingestion:136 - Batch 17: inserted 198/200 | total 3,400
2026-03-10 12:08:16.970 | DEBUG    | __main__:run_ingestion:136 - Batch 18: inserted 199/200 | total 3,600
2026-03-10 12:08:17.937 | DEBUG    | __main__:run_ingestion:136 - Batch 19: inserted 200/200 | total 3,800
